total,free,time
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
0,344.9244949582146,1597100100
0,349.84820795821463,1597100280
0,349.84820795821463,1597100460
0,349.84820795821463,1597100640
0,349.84820795821463,1597100940
0,349.84820795821463,1597101180
0,349.84820795821463,1597101240
0,349.84820795821463,1597101420
0,349.84820795821463,1597101540
0,349.84820795821463,1597101720
0,370.5129978582146,1597231680
0,370.5129978582146,1597231800
0,370.5129978582146,1597231920
0,349.84820795821463,1597021800
0,349.8482079582146,1597021980
0,349.8482079582146,1597022100
0,349.84820795821463,1597099920
